Site,Location,Latitude,Longitude
Rockaway Reef,NW,40.5455,-73.8535
Rockaway Reef,NE,40.5455,-73.832
Rockaway Reef,SE,40.53666667,-73.832
Rockaway Reef,SW,40.53666667,-73.8535
Atlantic Beach Reef,NW,40.53366667,-73.72833333
Atlantic Beach Reef,NE,40.53366667,-73.70666667
Atlantic Beach Reef,SE,40.5255,-73.70666667
Atlantic Beach Reef,SW,40.5255,-73.72833333
McAllister Grounds,NW,40.53833333,-73.66166667
McAllister Grounds,NE,40.53833333,-73.65333333
McAllister Grounds,SE,40.535,-73.65333333
McAllister Grounds,SW,40.535,-73.66166667
Hempstead Reef,NW,40.52083333,-73.55583333
Hempstead Reef,NE,40.525,-73.52283333
Hempstead Reef,SE,40.51533333,-73.52583333
Hempstead Reef,SW,40.51116667,-73.55866667
Fire Island Reef,NW,40.60166667,-73.225
Fire Island Reef,NE,40.5455,-73.19166667
Fire Island Reef,SE,40.59333333,-73.19166667
Fire Island Reef,SW,40.59333333,-73.225
Yellowbar Reef,NW,40.63256667,-73.24325
Yellowbar Reef,NE,40.63418333,-73.23923333
Yellowbar Reef,SE,40.6336,-73.23878333
Yellowbar Reef,SW,40.63196667,-73.24281667
Kismet Reef,NW,40.63566667,-73.21563333
Kismet Reef,NE,40.6385,-73.20548333
Kismet Reef,SE,40.63808333,-73.20528333
Kismet Reef,SW,40.63525,-73.21543333
Moriches Reef,NW,40.7245,-72.77733333
Moriches Reef,NE,40.72566667,-72.77266667
Moriches Reef,SE,40.7245,-72.77216667
Moriches Reef,SW,40.72333333,-72.77691667
Shinnecock Reef,NW,40.80278333,-72.47778333
Shinnecock Reef,NE,40.80361667,-72.47166667
Shinnecock Reef,SE,40.80138333,-72.47221667
Shinnecock Reef,SW,40.80055,-72.47861667
Smithtown Reef,NW,40.93291667,-73.18616667
Smithtown Reef,NE,40.93341667,-73.1845
Smithtown Reef,SE,40.93258333,-73.18391667
Smithtown Reef,SW,40.932,-73.18566667
Matinecock Reef,NW,40.90965,-73.62901667
Matinecock Reef,NE,40.91148333,-73.62083333
Matinecock Reef,SE,40.90968333,-73.62016667
Matinecock Reef,SW,40.90798333,-73.62835
