Reef ,Date,Boat Type,Number of Boats
Atlantic Beach,4/7/1995,Small,0
Atlantic Beach,4/7/1995,Large,0
Atlantic Beach,5/14/1995,Small,7
Atlantic Beach,5/14/1995,Large,0
Atlantic Beach,6/10/1995,Small,4
Atlantic Beach,6/10/1995,Large,0
Atlantic Beach,7/9/1995,Small,3
Atlantic Beach,7/9/1995,Large,0
Atlantic Beach,8/19/1995,Small,0
Atlantic Beach,8/19/1995,Large,0
Atlantic Beach,9/2/1995,Small,6
Atlantic Beach,9/2/1995,Large,1
Atlantic Beach,10/9/1995,Small,0
Atlantic Beach,10/9/1995,Large,0
Atlantic Beach,11/17/1995,Small,0
Atlantic Beach,11/17/1995,Large,0
Atlantic Beach,4/21/1996,Small,0
Atlantic Beach,4/21/1996,Large,0
Atlantic Beach,5/22/1996,Small,1
Atlantic Beach,5/22/1996,Large,0
Atlantic Beach,6/26/1996,Small,0
Atlantic Beach,6/26/1996,Large,0
Atlantic Beach,7/6/1996,Small,2
Atlantic Beach,7/6/1996,Large,0
Atlantic Beach,8/25/1996,Small,2
Atlantic Beach,8/25/1996,Large,0
Atlantic Beach,9/21/1996,Small,12
Atlantic Beach,9/21/1996,Large,1
Atlantic Beach,10/26/1996,Small,0
Atlantic Beach,10/26/1996,Large,0
Atlantic Beach,11/11/1996,Small,1
Atlantic Beach,11/11/1996,Large,0
Atlantic Beach,4/22/1997,Small,1
Atlantic Beach,4/22/1997,Large,0
Atlantic Beach,4/26/1997,Small,0
Atlantic Beach,4/26/1997,Large,0
Atlantic Beach,5/11/1997,Small,1
Atlantic Beach,5/11/1997,Large,1
Atlantic Beach,5/27/1997,Small,1
Atlantic Beach,5/27/1997,Large,0
Atlantic Beach,7/5/1997,Small,4
Atlantic Beach,7/5/1997,Large,1
Atlantic Beach,7/29/1997,Small,1
Atlantic Beach,7/29/1997,Large,0
Atlantic Beach,8/16/1997,Small,6
Atlantic Beach,8/16/1997,Large,0
Atlantic Beach,8/25/1997,Small,5
Atlantic Beach,8/25/1997,Large,0
Atlantic Beach,9/4/1997,Small,0
